순위,영화명,개봉일,매출액,매출액점유율,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
1,스파이더맨: 노 웨이 홈,2021-12-15,"55,697,413,760",9.50%,"55,697,413,760","5,560,940","5,560,940","2,948","144,754",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,"액션,어드벤처,SF",존 왓츠,"톰 홀랜드,젠데이아 콜먼,베네딕트 컴버배치,제이콥 배덜런,존 파브로,마리사 토메이"
2,모가디슈,2021-07-28,"34,558,297,730",5.90%,"34,558,297,730","3,613,984","3,613,984","1,688","210,740",한국,한국,"(주)덱스터스튜디오,(주)외유내강,(주)필름케이",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,"액션,드라마",류승완,"김윤석,조인성,허준호,구교환,김소진,정만식,김재화,박경혜,박명신,한철우,주보비,안세호,이진희,최경훈,이화정,정병두,이나연,김동화,윤경호,장지후,유연석,강승수,임희라,김우영,남태규,배정환,이성환,태상호,김도훈,김동식,김원준,민대웅,정재훈,최정욱,윤대원,김서희,박지영,이종진,최유정,박정,조상원,전상원,김경희,김재훈,이용희,황창기,이희경,이금빈,조순연,한규석"
3,이터널스,2021-11-03,"31,729,284,450",5.40%,"31,729,284,450","3,050,132","3,050,132","2,648","162,435",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,드라마",클로이 자오,"안젤리나 졸리,마동석,리처드 매든,쿠마일 난지아니,셀마 헤이엑"
4,블랙 위도우,2021-07-07,"29,996,075,620",5.10%,"29,996,075,620","2,962,088","2,962,088","2,528","155,016",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF",케이트 쇼트랜드,"스칼렛 요한슨,플로렌스 퓨,레이첼 와이즈,데이빗 하버"
5,분노의 질주: 더 얼티메이트,2021-05-19,"22,059,658,060",3.80%,"22,059,658,060","2,292,415","2,292,415","2,297","131,856",미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,액션,저스틴 린,"빈 디젤,존 시나,성 강,샤를리즈 테론,미셸 로드리게즈,조다나 브루스터,헬렌 미렌"
6,싱크홀,2021-08-11,"21,395,652,690",3.70%,"21,395,652,690","2,195,683","2,195,683","1,603","121,841",한국,한국,(주)더타워픽쳐스,(주)쇼박스,12세이상관람가,코미디,김지훈,"차승원,김성균,이광수,권소현,김혜준,김재화,박옥출,남다름,정영숙,이학주,한태린,김건우,오자훈,나철,김병철,전승재,김경환,박민준,나현민,윤돈선,정서인,정윤하,이두열,어성욱,김태훈,김준혁,장영,이건구,정용락,유현,안용우,윤기현,조제웅,이창윤,정용태,이상욱,안성봉,김동현,김왕도,오재세,박민지,황여진,김명희,이순화,이주미,송경아,전은미,권정숙,이경태,최지명,권오철,최민혁,김귀례,정우근,장광,김홍파,고창석"
7,극장판 귀멸의 칼날: 무한열차편,2021-01-27,"20,656,041,700",3.50%,"20,656,041,700","2,151,861","2,151,861",900,"151,898",일본,일본,,워터홀컴퍼니(주),15세이상관람가,애니메이션,소토자키 하루오,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구,히노 사토시,히라카와 다이스케"
8,베놈 2: 렛 데어 비 카니지,2021-10-13,"21,115,762,990",3.60%,"21,115,762,990","2,123,573","2,123,573","1,998","151,687",미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,15세이상관람가,"액션,SF,스릴러",앤디 서키스,"톰 하디,미쉘 윌리엄스,나오미 해리스,레이드 스콧,스티븐 그레이엄,우디 해럴슨"
9,소울,2021-01-20,"19,034,915,180",3.30%,"19,034,915,180","2,048,228","2,048,228","2,018","160,728",미국,미국,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,전체관람가,애니메이션,피트 닥터,"제이미 폭스,티나 페이"
10,크루엘라,2021-05-26,"19,252,879,640",3.30%,"19,252,879,640","1,983,397","1,983,397","1,186","122,643",미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"드라마,범죄,코미디",크레이그 질레스피,"엠마 스톤,엠마 톰슨,마크 스트롱"
